Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,OuterLoop_1,OuterLoop_2,OuterLoop_3,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_1_4,InnerLoop_1_5,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
workload_348.cpp,xczu7ev-ffvc1156-2-e,10,19988.02881,123,33,0,7,28,block_2_1,block_64_1,cyclic_32_1,block_16_2,complete_1,cyclic_4_1,block_8_1,block_4_1,block_2_1,cyclic_4_1,unroll_8,unroll_4,unroll_2,unroll_2,unroll_4,unroll_4,unroll_8,unroll_2,pipeline_1,1,17,0.597970191188,False
workload_381.cpp,xczu7ev-ffvc1156-2-e,10,20203.84705,151,38,0,8,33,block_2_1,block_64_1,cyclic_32_1,complete_1,block_4_1,cyclic_4_1,block_8_1,block_4_1,block_2_1,cyclic_8_1,unroll_8,unroll_4,unroll_2,unroll_2,unroll_4,unroll_4,unroll_8,unroll_2,pipeline_1,1,19.75,0.557911645025,False
workload_158.cpp,xczu7ev-ffvc1156-2-e,10,2743.63713,880,37,1,61,86,block_2_1,block_8_1,block_2_1,complete_1,block_4_1,cyclic_8_1,cyclic_4_1,cyclic_8_1,cyclic_8_1,cyclic_8_1,unroll_32,pipeline_1,unroll_2,unroll_8,unroll_2,unroll_16,unroll_8,unroll_8,unroll_16,1,46.25,0.248977556271,False
workload_323.cpp,xczu7ev-ffvc1156-2-e,10,2268.17345,422,37,1,57,85,block_2_1,block_8_1,block_2_1,cyclic_16_2,block_4_1,cyclic_8_1,block_4_1,cyclic_8_1,cyclic_8_1,cyclic_4_1,unroll_32,pipeline_1,unroll_2,unroll_8,unroll_2,unroll_4,unroll_8,unroll_8,unroll_16,1,45,0.266104506409,False
workload_221.cpp,xczu7ev-ffvc1156-2-e,10,2268.17345,450,37,1,57,85,block_2_1,block_8_1,block_2_1,cyclic_16_2,block_4_1,cyclic_8_1,cyclic_4_1,cyclic_8_1,cyclic_8_1,cyclic_4_1,unroll_32,pipeline_1,unroll_2,unroll_8,unroll_2,unroll_16,unroll_8,unroll_8,unroll_16,1,45,0.266104506409,False
workload_223.cpp,xczu7ev-ffvc1156-2-e,10,19766.84113,636,54,0,15,59,block_2_1,cyclic_128_1,block_128_1,block_16_2,complete_1,cyclic_4_1,complete_1,block_4_1,complete_1,block_4_1,unroll_8,unroll_2,unroll_2,unroll_8,unroll_2,unroll_8,unroll_4,unroll_8,pipeline_1,1,32,0.371963865285,False
workload_217.cpp,xczu7ev-ffvc1156-2-e,10,10812.00837,193,43,0,18,61,block_2_1,cyclic_128_1,block_4_1,cyclic_4_1,complete_1,cyclic_4_1,block_4_1,complete_1,complete_1,cyclic_4_1,unroll_8,unroll_2,unroll_8,unroll_8,unroll_4,unroll_8,unroll_4,unroll_2,pipeline_1,1,30.5,0.490587571292,False
workload_163.cpp,xczu7ev-ffvc1156-2-e,10,10812.00849,97,43,0,14,33,block_2_1,cyclic_128_1,block_4_1,cyclic_4_1,complete_1,cyclic_4_1,complete_1,complete_1,complete_1,cyclic_4_1,unroll_8,unroll_2,unroll_2,unroll_8,unroll_4,unroll_8,unroll_4,unroll_2,pipeline_1,1,22.5,0.648281610976,False
workload_351.cpp,xczu7ev-ffvc1156-2-e,10,11210.46737,86,43,0,13,32,block_2_1,cyclic_128_1,block_4_1,cyclic_4_1,complete_1,cyclic_4_1,complete_1,complete_1,cyclic_2_1,cyclic_4_1,unroll_8,unroll_2,unroll_2,unroll_8,unroll_4,unroll_4,unroll_4,unroll_2,pipeline_1,1,22,0.656228433289,False
workload_80.cpp,xczu7ev-ffvc1156-2-e,10,18408.93769,198,43,0,17,54,block_2_1,cyclic_128_1,cyclic_32_1,block_16_2,complete_1,cyclic_4_1,cyclic_2_1,complete_1,block_4_1,cyclic_4_1,unroll_8,unroll_2,unroll_4,unroll_8,unroll_2,pipeline_1,unroll_4,unroll_4,unroll_32,1,28.5,0.443138821162,False
workload_198.cpp,xczu7ev-ffvc1156-2-e,10,22261.55081,371,45,0,17,64,block_2_1,cyclic_128_1,cyclic_32_1,block_8_1,block_8_1,block_8_1,complete_1,complete_1,block_4_1,cyclic_4_1,unroll_8,unroll_2,unroll_4,unroll_8,unroll_2,unroll_4,unroll_4,unroll_8,pipeline_1,1,31.5,0.353999418971,False
workload_147.cpp,xczu7ev-ffvc1156-2-e,10,18554.83473,642,45,0,17,52,block_2_1,cyclic_128_1,cyclic_32_1,block_8_1,complete_1,cyclic_4_1,complete_1,complete_1,complete_1,cyclic_4_1,unroll_8,unroll_2,unroll_2,unroll_8,unroll_2,pipeline_1,unroll_4,unroll_8,unroll_32,1,28.5,0.441538645018,False
workload_74.cpp,xczu7ev-ffvc1156-2-e,10,22240.57937,215,45,0,16,47,block_2_1,cyclic_128_1,cyclic_32_1,block_8_1,complete_1,cyclic_4_1,complete_1,complete_1,complete_1,cyclic_4_1,unroll_8,unroll_2,unroll_2,unroll_8,unroll_2,unroll_8,unroll_4,unroll_8,pipeline_1,1,27,0.418916755747,False
workload_641.cpp,xczu7ev-ffvc1156-2-e,10,19202.21393,89,32,0,2,16,block_2_1,cyclic_16_1,block_2_1,block_16_2,block_2_1,complete_1,block_4_1,block_4_1,complete_1,cyclic_4_1,unroll_32,unroll_2,unroll_2,unroll_16,unroll_16,unroll_4,unroll_2,unroll_4,pipeline_1,1,12.5,0.657126572051,False
workload_612.cpp,xczu7ev-ffvc1156-2-e,10,19202.24849,60,32,0,2,9,block_2_1,cyclic_16_1,block_2_1,block_16_2,block_2_1,complete_1,block_4_1,block_4_1,complete_1,cyclic_4_1,unroll_8,unroll_2,unroll_2,unroll_16,unroll_16,unroll_4,unroll_2,unroll_2,pipeline_1,1,10.75,0.661988678846,False
workload_569.cpp,xczu7ev-ffvc1156-2-e,10,19202.24465,64,32,0,2,10,block_2_1,cyclic_16_1,block_2_1,block_16_2,block_2_1,complete_1,block_4_1,block_4_1,complete_1,cyclic_4_1,unroll_8,unroll_2,unroll_2,unroll_16,unroll_16,unroll_4,unroll_2,unroll_4,pipeline_1,1,11,0.661778075378,False
workload_487.cpp,xczu7ev-ffvc1156-2-e,10,19253.04913,72,32,0,13,24,block_2_1,cyclic_16_1,block_2_1,block_16_2,block_2_1,complete_1,block_4_1,block_4_1,complete_1,cyclic_4_1,unroll_8,unroll_2,unroll_2,unroll_8,unroll_16,unroll_4,unroll_2,unroll_2,pipeline_1,1,17.25,0.611315109059,False
workload_244.cpp,xczu7ev-ffvc1156-2-e,10,19253.03873,115,32,0,16,33,block_2_1,cyclic_16_1,block_2_1,block_16_2,block_2_1,complete_1,block_4_1,block_4_1,cyclic_2_1,cyclic_4_1,unroll_8,unroll_2,unroll_4,unroll_8,unroll_16,unroll_4,unroll_8,unroll_4,pipeline_1,1,20.25,0.568882811658,False
workload_684.cpp,xczu7ev-ffvc1156-2-e,10,19599.07921,73,32,0,13,25,block_2_1,cyclic_16_1,block_2_1,block_16_2,block_2_1,complete_1,block_4_1,block_4_1,cyclic_4_1,cyclic_4_1,unroll_8,unroll_2,unroll_2,unroll_8,unroll_2,unroll_8,unroll_2,unroll_2,pipeline_1,1,17.5,0.600525545768,False
workload_667.cpp,xczu7ev-ffvc1156-2-e,10,19548.27473,67,32,0,2,11,block_2_1,cyclic_16_1,block_2_1,block_16_2,block_2_1,complete_1,block_4_1,complete_1,block_2_1,cyclic_4_1,unroll_8,unroll_2,unroll_2,unroll_16,unroll_2,unroll_8,unroll_4,unroll_2,pipeline_1,1,11.25,0.651744227642,False
workload_457.cpp,xczu7ev-ffvc1156-2-e,10,13396.74177,138,32,0,17,37,block_2_1,cyclic_16_1,block_2_1,block_16_2,block_2_1,complete_1,complete_1,block_4_1,cyclic_2_1,cyclic_4_1,unroll_8,unroll_2,unroll_4,unroll_8,unroll_16,unroll_16,unroll_8,unroll_4,pipeline_1,1,21.5,0.640247081081,False
workload_496.cpp,xczu7ev-ffvc1156-2-e,10,19976.55617,121,32,0,16,32,block_2_1,cyclic_16_1,block_2_1,block_16_2,block_2_1,complete_1,complete_1,block_4_1,cyclic_2_1,cyclic_4_1,unroll_8,unroll_2,unroll_4,unroll_8,unroll_2,unroll_4,unroll_8,unroll_4,pipeline_1,1,20,0.55881453835,False
workload_403.cpp,xczu7ev-ffvc1156-2-e,10,19137.69801,111,32,0,16,34,block_2_1,cyclic_16_1,block_2_1,block_16_2,block_2_1,complete_1,complete_1,block_4_1,cyclic_2_1,cyclic_4_1,unroll_8,unroll_2,unroll_4,unroll_8,unroll_4,unroll_16,unroll_4,unroll_4,pipeline_1,1,20.5,0.56717908103,False
workload_611.cpp,xczu7ev-ffvc1156-2-e,10,19137.70193,90,32,0,14,28,block_2_1,cyclic_16_1,block_2_1,block_16_2,block_2_1,complete_1,cyclic_4_1,block_4_1,block_2_1,cyclic_4_1,unroll_8,unroll_2,unroll_2,unroll_8,unroll_4,unroll_16,unroll_4,unroll_2,pipeline_1,1,18.5,0.596906320458,False
workload_526.cpp,xczu7ev-ffvc1156-2-e,10,13396.74177,135,32,0,17,37,block_2_1,cyclic_16_1,block_2_1,block_16_2,block_2_1,complete_1,cyclic_4_1,block_4_1,block_2_1,cyclic_4_1,unroll_8,unroll_2,unroll_4,unroll_8,unroll_16,unroll_16,unroll_8,unroll_4,pipeline_1,1,21.5,0.640247081081,False
workload_599.cpp,xczu7ev-ffvc1156-2-e,10,13396.74441,109,32,0,17,35,block_2_1,cyclic_16_1,block_2_1,block_16_2,block_2_1,complete_1,cyclic_4_1,block_4_1,cyclic_2_1,cyclic_4_1,unroll_8,unroll_2,unroll_4,unroll_8,unroll_16,unroll_16,unroll_4,unroll_4,pipeline_1,1,21,0.65066684347,False
workload_342.cpp,xczu7ev-ffvc1156-2-e,10,13396.74177,141,32,0,17,37,block_2_1,cyclic_16_1,block_2_1,block_16_2,block_2_1,complete_1,cyclic_4_1,block_4_1,cyclic_2_1,cyclic_4_1,unroll_8,unroll_2,unroll_4,unroll_8,unroll_16,unroll_16,unroll_8,unroll_4,pipeline_1,1,21.5,0.640247081081,False
workload_450.cpp,xczu7ev-ffvc1156-2-e,10,19137.69801,109,32,0,16,34,block_2_1,cyclic_16_1,block_2_1,block_16_2,block_2_1,complete_1,cyclic_4_1,block_4_1,cyclic_2_1,cyclic_4_1,unroll_8,unroll_2,unroll_4,unroll_8,unroll_4,unroll_16,unroll_4,unroll_4,pipeline_1,1,20.5,0.56717908103,False
workload_617.cpp,xczu7ev-ffvc1156-2-e,10,19137.69921,125,32,0,16,33,block_2_1,cyclic_16_1,block_2_1,block_16_2,block_2_1,complete_1,cyclic_8_1,block_4_1,block_2_1,cyclic_4_1,unroll_8,unroll_2,unroll_4,unroll_8,unroll_4,unroll_16,unroll_8,unroll_2,pipeline_1,1,20.25,0.57103560728,False
workload_508.cpp,xczu7ev-ffvc1156-2-e,10,19599.06881,124,32,0,16,34,block_2_1,cyclic_16_1,block_2_1,block_16_2,block_2_1,cyclic_4_1,cyclic_4_1,block_4_1,cyclic_2_1,cyclic_4_1,unroll_8,unroll_2,unroll_4,unroll_8,unroll_2,unroll_8,unroll_8,unroll_4,pipeline_1,1,20.5,0.558644216782,False
workload_437.cpp,xczu7ev-ffvc1156-2-e,10,12385.59809,339,43,1,35,54,block_2_1,cyclic_16_1,block_2_1,block_16_2,complete_1,complete_1,block_8_1,block_4_1,cyclic_2_1,cyclic_4_1,unroll_16,pipeline_1,unroll_2,unroll_8,unroll_2,unroll_16,unroll_8,unroll_4,pipeline_1,1,33.25,0.423728240567,False
workload_491.cpp,xczu7ev-ffvc1156-2-e,10,19307.14049,77,32,1,4,14,block_2_1,cyclic_16_1,block_2_1,block_2_1,complete_1,block_8_1,block_4_1,block_4_1,cyclic_4_1,cyclic_4_1,unroll_4,unroll_2,unroll_2,unroll_16,unroll_16,unroll_8,unroll_8,unroll_2,pipeline_1,1,12.75,0.652985396439,False
workload_673.cpp,xczu7ev-ffvc1156-2-e,10,22064.90193,56,32,0,2,8,block_2_1,cyclic_16_1,block_2_1,block_2_1,complete_1,block_8_1,block_4_1,complete_1,block_2_1,cyclic_4_1,unroll_4,unroll_2,unroll_2,unroll_16,unroll_2,unroll_4,unroll_2,unroll_2,pipeline_1,1,10.5,0.584042886657,False
workload_594.cpp,xczu7ev-ffvc1156-2-e,10,22043.92385,74,32,0,3,12,block_2_1,cyclic_16_1,block_2_1,block_2_1,complete_1,block_8_1,block_4_1,complete_1,block_2_1,cyclic_4_1,unroll_4,unroll_2,unroll_2,unroll_16,unroll_2,unroll_8,unroll_8,unroll_2,pipeline_1,1,11.75,0.583578272569,False
workload_418.cpp,xczu7ev-ffvc1156-2-e,10,20027.11377,132,32,1,16,30,block_2_1,cyclic_16_1,block_2_1,block_2_1,complete_1,block_8_1,block_8_1,block_4_1,cyclic_4_1,cyclic_4_1,unroll_32,unroll_2,unroll_2,unroll_2,unroll_16,unroll_4,unroll_4,unroll_4,pipeline_1,1,19.75,0.561383380242,False
workload_493.cpp,xczu7ev-ffvc1156-2-e,10,19326.72209,57,43,1,3,10,block_2_1,cyclic_16_1,block_2_1,block_2_1,complete_1,complete_1,block_4_1,block_4_1,cyclic_2_1,cyclic_4_1,pipeline_1,unroll_2,unroll_2,unroll_16,unroll_16,unroll_4,unroll_4,unroll_2,pipeline_1,1,14.25,0.641985221818,False
workload_340.cpp,xczu7ev-ffvc1156-2-e,10,19328.07377,65,32,1,3,12,block_2_1,cyclic_16_1,block_2_1,block_2_1,complete_1,complete_1,block_4_1,block_4_1,cyclic_4_1,cyclic_4_1,unroll_8,unroll_2,unroll_2,unroll_16,unroll_16,unroll_4,unroll_4,unroll_2,pipeline_1,1,12,0.655831527661,False
workload_600.cpp,xczu7ev-ffvc1156-2-e,10,19328.06993,68,32,1,3,13,block_2_1,cyclic_16_1,block_2_1,block_2_1,complete_1,complete_1,block_4_1,block_4_1,cyclic_4_1,cyclic_4_1,unroll_8,unroll_2,unroll_2,unroll_16,unroll_16,unroll_4,unroll_4,unroll_4,pipeline_1,1,12.25,0.654840993213,False
workload_446.cpp,xczu7ev-ffvc1156-2-e,10,19328.07105,71,32,1,3,13,block_2_1,cyclic_16_1,block_2_1,block_2_1,complete_1,complete_1,block_4_1,block_4_1,cyclic_4_1,cyclic_4_1,unroll_8,unroll_2,unroll_2,unroll_16,unroll_16,unroll_4,unroll_8,unroll_2,pipeline_1,1,12.25,0.65484096256,False
workload_585.cpp,xczu7ev-ffvc1156-2-e,10,19328.07105,73,32,1,3,13,block_2_1,cyclic_16_1,block_2_1,block_2_1,complete_1,complete_1,block_8_1,block_4_1,cyclic_4_1,cyclic_4_1,unroll_8,unroll_2,unroll_2,unroll_16,unroll_16,unroll_4,unroll_8,unroll_2,pipeline_1,1,12.25,0.65484096256,False
workload_730.cpp,xczu7ev-ffvc1156-2-e,10,22043.88945,65,32,0,2,10,block_2_1,cyclic_16_1,block_2_1,block_2_1,complete_1,cyclic_4_1,block_4_1,complete_1,block_2_1,cyclic_4_1,unroll_8,unroll_2,unroll_2,unroll_16,unroll_2,unroll_8,unroll_2,unroll_2,pipeline_1,1,11,0.584532613078,False
workload_745.cpp,xczu7ev-ffvc1156-2-e,10,32959.53481,745,34,0,4,20,block_2_1,cyclic_16_1,block_2_1,block_8_1,block_2_1,complete_1,block_8_1,complete_1,cyclic_4_1,block_2_1,unroll_32,unroll_2,unroll_4,unroll_16,unroll_2,unroll_2,unroll_2,unroll_2,unroll_32,1,14.5,0.335603141586,False
workload_288.cpp,xczu7ev-ffvc1156-2-e,10,18731.45793,149,37,1,17,33,block_2_1,cyclic_16_1,block_2_1,complete_1,block_2_1,complete_1,block_4_1,block_4_1,cyclic_4_1,cyclic_4_1,unroll_8,unroll_2,unroll_4,unroll_8,unroll_16,unroll_4,unroll_8,unroll_2,pipeline_1,1,22,0.550188931071,False
workload_695.cpp,xczu7ev-ffvc1156-2-e,10,8318.07049,73,37,0,4,14,block_2_1,cyclic_16_1,block_2_1,complete_1,block_2_1,complete_1,block_4_1,complete_1,block_2_1,cyclic_4_1,unroll_4,unroll_2,unroll_4,unroll_16,unroll_2,unroll_16,unroll_2,unroll_2,pipeline_1,1,13.75,0.88491269298,False
workload_711.cpp,xczu7ev-ffvc1156-2-e,10,21813.19889,68,37,0,3,13,block_2_1,cyclic_16_1,block_2_1,complete_1,complete_1,cyclic_4_1,block_4_1,complete_1,block_2_1,complete_1,unroll_8,unroll_2,unroll_2,unroll_16,unroll_2,unroll_8,unroll_4,unroll_2,pipeline_1,1,13.25,0.584568407883,False
workload_803.cpp,xczu7ev-ffvc1156-2-e,10,11201.57905,73,33,0,2,13,block_2_1,cyclic_16_1,block_2_1,cyclic_4_1,block_2_1,complete_1,block_4_1,block_4_1,cyclic_4_1,block_2_1,unroll_32,unroll_2,unroll_2,unroll_16,unroll_2,unroll_4,unroll_4,unroll_2,pipeline_1,1,12,0.857548030611,False
workload_568.cpp,xczu7ev-ffvc1156-2-e,10,4231.83569,751,94,7,14,23,block_2_1,cyclic_16_1,block_2_1,cyclic_4_1,complete_1,complete_1,block_4_1,block_4_1,cyclic_4_1,cyclic_4_1,unroll_8,pipeline_1,unroll_2,unroll_16,unroll_2,unroll_4,unroll_4,unroll_2,pipeline_1,1,34.5,0.447783461135,False
workload_558.cpp,xczu7ev-ffvc1156-2-e,10,7552.56529,56,33,1,3,11,block_2_1,cyclic_16_1,block_2_1,cyclic_4_1,complete_1,complete_1,block_4_1,block_4_1,cyclic_4_1,cyclic_4_1,unroll_8,unroll_2,unroll_2,unroll_16,unroll_16,unroll_4,unroll_4,unroll_2,pipeline_1,1,12,0.929575840069,False
workload_676.cpp,xczu7ev-ffvc1156-2-e,10,7552.56529,59,33,1,3,11,block_2_1,cyclic_16_1,block_2_1,cyclic_4_1,complete_1,complete_1,block_4_1,block_8_1,cyclic_2_1,cyclic_4_1,unroll_8,unroll_2,unroll_2,unroll_16,unroll_16,unroll_4,unroll_4,unroll_2,pipeline_1,1,12,0.929575840069,False
workload_580.cpp,xczu7ev-ffvc1156-2-e,10,10853.95153,73,33,0,14,26,block_2_1,cyclic_16_1,block_2_1,cyclic_4_1,complete_1,complete_1,block_4_1,complete_1,block_2_1,cyclic_4_1,unroll_8,unroll_2,unroll_2,unroll_8,unroll_2,unroll_8,unroll_4,unroll_2,pipeline_1,1,18.25,0.747592240484,False
workload_564.cpp,xczu7ev-ffvc1156-2-e,10,13345.94113,137,33,0,6,22,block_2_1,cyclic_16_1,block_4_1,block_16_2,block_2_1,cyclic_4_1,cyclic_4_1,block_4_1,cyclic_2_1,cyclic_4_1,unroll_8,unroll_2,unroll_4,unroll_16,unroll_16,unroll_16,unroll_8,unroll_4,pipeline_1,1,15.25,0.761920988156,False
workload_710.cpp,xczu7ev-ffvc1156-2-e,10,18667.47089,70,33,0,3,12,block_2_1,cyclic_16_1,block_4_1,block_16_2,complete_1,cyclic_4_1,block_4_1,complete_1,complete_1,cyclic_4_1,unroll_8,unroll_2,unroll_2,unroll_16,unroll_16,unroll_8,unroll_4,unroll_2,pipeline_1,1,12,0.674121906098,False
workload_535.cpp,xczu7ev-ffvc1156-2-e,10,6948.27969,280,53,5,14,28,block_2_1,cyclic_16_1,block_4_1,block_2_1,complete_1,complete_1,block_4_1,block_4_1,cyclic_4_1,cyclic_4_1,unroll_32,pipeline_1,unroll_2,unroll_16,unroll_2,unroll_4,unroll_8,unroll_2,pipeline_1,1,25,0.64945696196,False
workload_364.cpp,xczu7ev-ffvc1156-2-e,10,4494.17025,511,93,11,28,45,block_2_1,cyclic_16_1,block_4_1,block_4_1,block_2_1,cyclic_4_1,block_8_1,block_4_1,block_2_1,cyclic_4_1,unroll_8,pipeline_1,unroll_2,unroll_8,unroll_4,unroll_2,unroll_8,unroll_8,unroll_32,1,44.25,0.276512968333,False
workload_308.cpp,xczu7ev-ffvc1156-2-e,10,3130.29585,275,34,1,24,36,block_2_1,cyclic_16_1,block_4_1,block_8_1,block_2_1,cyclic_4_1,complete_1,block_4_1,block_2_1,cyclic_4_1,unroll_8,pipeline_1,unroll_2,unroll_8,unroll_4,unroll_2,unroll_2,unroll_8,unroll_32,1,23.75,0.70329994288,False
workload_229.cpp,xczu7ev-ffvc1156-2-e,10,3130.29573,430,34,1,27,48,block_2_1,cyclic_16_1,block_4_1,block_8_1,block_2_1,cyclic_4_1,complete_1,block_4_1,block_2_1,cyclic_4_1,unroll_8,pipeline_1,unroll_8,unroll_8,unroll_4,unroll_2,unroll_2,unroll_8,unroll_32,1,27.5,0.606862769056,False
workload_420.cpp,xczu7ev-ffvc1156-2-e,10,3130.29201,301,34,1,24,37,block_2_1,cyclic_16_1,block_4_1,block_8_1,block_2_1,cyclic_4_1,complete_1,block_4_1,cyclic_8_1,cyclic_4_1,unroll_8,pipeline_1,unroll_2,unroll_8,unroll_8,unroll_2,unroll_4,unroll_8,unroll_32,1,24,0.6966313293,False
workload_392.cpp,xczu7ev-ffvc1156-2-e,10,3130.29833,296,34,1,25,39,block_2_1,cyclic_16_1,block_4_1,block_8_1,block_2_1,cyclic_4_1,complete_1,block_4_1,cyclic_8_1,cyclic_4_1,unroll_8,pipeline_1,unroll_4,unroll_8,unroll_8,unroll_2,unroll_4,unroll_2,unroll_32,1,24.75,0.67682469693,False
workload_533.cpp,xczu7ev-ffvc1156-2-e,10,3214.18833,820,34,1,59,86,block_2_1,cyclic_16_1,block_4_1,block_8_1,complete_1,block_8_1,block_8_1,complete_1,cyclic_2_1,block_2_1,unroll_32,pipeline_1,unroll_2,unroll_8,unroll_16,unroll_4,unroll_4,unroll_8,unroll_32,1,45,0.266271825472,False
workload_161.cpp,xczu7ev-ffvc1156-2-e,10,3130.29573,480,34,1,27,48,block_2_1,cyclic_16_1,block_4_1,block_8_1,complete_1,cyclic_4_1,complete_1,block_4_1,block_2_1,cyclic_4_1,unroll_8,pipeline_1,unroll_8,unroll_8,unroll_4,unroll_2,unroll_2,unroll_8,unroll_32,1,27.5,0.606862769056,False
workload_628.cpp,xczu7ev-ffvc1156-2-e,10,1843.19313,225,32,1,11,25,block_2_1,cyclic_16_1,block_4_1,block_8_2,complete_1,block_8_1,block_8_1,block_4_1,cyclic_2_1,cyclic_4_1,pipeline_1,pipeline_1,unroll_2,unroll_16,unroll_2,unroll_4,unroll_4,unroll_4,pipeline_1,1,17.25,0.883080897566,False
workload_694.cpp,xczu7ev-ffvc1156-2-e,10,1843.19301,280.5,32,1,16,39,block_2_1,cyclic_16_1,block_4_1,block_8_2,complete_1,block_8_1,block_8_1,complete_1,cyclic_2_1,cyclic_4_1,pipeline_1,pipeline_1,unroll_8,unroll_16,unroll_2,unroll_4,unroll_4,unroll_4,pipeline_1,2,22,0.748798400979,False
